id,"airport_id","ident_a","ident_b",length,width,threshold_a,threshold_b,heading_a,heading_b,lat_a,lon_a,lat_b,lon_b
38742,"YSGE","11","29",4987,98,NULL,NULL,120,300,-28.046900,148.589000,-28.053900,148.602000
38743,"YSGR","08","26",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38744,"YSGT","10","28",3608,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38745,"YSGW","08","26",3572,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38746,"YSHG","10","28",4757,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38747,"YSHK","18","36",5545,98,NULL,NULL,178,358,-25.888100,113.577000,-25.902900,113.577000
38748,"YSHN","02","20",2952,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38749,"YSHR","14","32",3608,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38750,"YSHT","09","27",1388,98,NULL,NULL,98,278,-36.429500,145.391000,-36.430000,145.396000
38751,"YSHT","18","36",4521,60,459,492,191,11,-36.420900,145.393000,-36.433100,145.390000
38752,"YSIA","13","34",2296,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38753,"YSIA","16","34",3608,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38754,"YSII","12","30",2099,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38755,"YSLG","13","31",3937,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38756,"YSLK","09","27",3412,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38757,"YSLK","17","35",2296,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38758,"YSLN","12","30",2624,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38759,"YSLV","08","26",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38760,"YSMI","06","24",5246,60,NULL,571,69,249,-40.838600,145.075000,-40.833500,145.093000
38761,"YSMI","10","28",2034,98,NULL,NULL,113,293,-40.831000,145.085000,-40.832900,145.091000
38762,"YSMR","11","29",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38763,"YSMY","12","30",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38764,"YSNB","13","31",4734,98,NULL,NULL,129,309,-11.413700,130.644000,-11.422000,130.654000
38765,"YSNF","04","22",4708,98,NULL,NULL,50,230,-29.046600,167.933000,-29.038200,167.945000
38766,"YSNF","11","29",6398,150,197,197,122,302,-29.036400,167.930000,-29.045800,167.947000
38767,"YSNT","09","27",1988,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38768,"YSNT","18","36",2283,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38769,"YSNW","03","21",6713,148,NULL,NULL,45,225,-34.948900,150.536000,-34.935700,150.552000
38770,"YSNW","08","26",6870,148,NULL,298,95,275,-34.947900,150.527000,-34.949300,150.549000
38771,"YSOW","09","27",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38772,"YSPE","08","26",5597,98,NULL,NULL,91,271,-28.621700,151.971000,-28.622200,151.989000
38773,"YSPF","14","32",2624,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38774,"YSPI","01","19",1968,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38775,"YSPI","12","30",3982,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38776,"YSPK","08","26",3248,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
